country,year_date,tomatoes,oranges,grapes,bananas,avocados,apples
Spain,1996,34206,8017.9,1218600,61000,13.368,766985
Spain,1997,37333,2239220,1254510,5348100,15355.6,624899
Spain,1998,38364,4435130,1254510,5728180,15355.6,624899
Spain,1999,40149,8092.63,1087400,58800,13.902,748435
Spain,2000,41929,2246620,1025360,4393230,26726.9,470814
Spain,2001,44766,1788050,1243050,11064900,50940,321860
Spain,2002,46686,191434,1117140,17627800,64851.7,150379
Spain,2003,45057,191444,1155030,17627400,64851.8,157454
Spain,2004,42093,204674,1264440,20352000,66282.5,150412
Spain,2005,41907,3094460,810606,14571800,58131.4,254648
Spain,2006,42533,5325500,13793.6,6596600,43200.8,343111
Spain,2007,43996,5921070,433328,11024300,51775.2,384479
Spain,2008,38199,5921070,433328,11024300,51775.2,384479
Spain,2009,38432.1,6948370,8227.4,8811880,45162.4,447291
Spain,2010,38640,5234070,13569.2,6652760,43719,353889
Spain,2011,93200,4087000,250836,4405080,58549,265352
Spain,2012,115913,4087000,250836,4405080,58549,265352
Spain,2013,166100,790741,4128100,10474400,58743,10276800
Spain,2014,153156,761311,2151340,4807960,66027.6,5116340
Spain,2015,135449,2292660,1613920,99907.8,118920,5247520
Spain,2016,125860,1799850,25272.6,102444,51605,283521
Spain,2017,161682,1799850,4522600,102444,39390.8,9128970
Spain,2018,183604,1799850,4522600,102444,39390.8,9128970
Spain,2019,191978,1799850,2544600,102444,48174.2,4567170
Spain,2020,192400,1799850,2544600,102444,48174.2,4567170
Spain,2021,248392,700504,28948.2,420400,119713,84572
